GSM4233218_WT_806_6M_FC.txt	GSM4233219_WT_807_6M_FC.txt	GSM4233220_WT_817_6M_FC.txt	GSM4233221_WT_819_6M_FC.txt	GSM4233222_TG_967_6M_FC.txt	GSM4233223_TG_968_6M_FC.txt	GSM4233224_TG_970_6M_FC.txt	GSM4233225_WT_178_11M_FC.txt	GSM4233226_WT_772_11M_FC.txt	GSM4233227_WT_774_11M_FC.txt	GSM4233228_TG_180_11M_FC.txt	GSM4233229_TG_183_11M_FC.txt	GSM4233230_TG_795_11M_FC.txt
483.00	514.00	581.00	566.00	679.00	510.00	607.00	556.00	591.00	637.00	596.00	685.00	604.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	42.00	43.00	48.00	50.00	40.00	40.00	48.00	36.00	22.00	39.00	53.00	32.00
21.00	2.00	1.00	2.00	3.00	0.00	1.00	2.00	4.00	0.00	6.00	1.00	3.00
32.00	24.00	9.00	16.00	18.00	36.00	25.00	19.00	16.00	26.00	19.00	22.00	10.00
4.00	3.00	4.00	10.00	5.00	4.00	2.00	7.00	11.00	7.00	7.00	18.00	7.00
800.00	1011.00	1055.00	1018.00	889.00	923.00	857.00	841.00	855.00	913.00	682.00	807.00	633.00
380.00	478.00	402.00	517.00	541.00	452.00	542.00	580.00	623.00	346.00	635.00	674.00	658.00
718.00	877.00	636.00	854.00	913.00	732.00	924.00	915.00	773.00	506.00	951.00	913.00	980.00
1195.00	1147.00	1419.00	1014.00	1108.00	1080.00	1073.00	1183.00	1127.00	1224.00	1168.00	963.00	1166.00
3132.00	3247.00	3801.00	3391.00	3322.00	3176.00	3231.00	3154.00	2268.00	2789.00	2207.00	2184.00	2128.00
53.00	38.00	67.00	26.00	24.00	40.00	30.00	48.00	74.00	47.00	59.00	51.00	51.00
12.00	0.00	2.00	2.00	1.00	1.00	4.00	6.00	10.00	7.00	2.00	7.00	1.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
99.00	25.00	68.00	67.00	38.00	47.00	36.00	40.00	31.00	220.00	23.00	28.00	32.00
36.00	52.00	72.00	50.00	57.00	51.00	94.00	73.00	60.00	40.00	62.00	55.00	49.00
350.00	533.00	319.00	511.00	381.00	326.00	494.00	398.00	468.00	132.00	421.00	489.00	420.00
253.00	252.00	220.00	240.00	297.00	228.00	227.00	222.00	220.00	215.00	173.00	174.00	214.00
1820.00	1869.00	2157.00	1902.00	1580.00	1877.00	2118.00	2000.00	2133.00	1926.00	2112.00	1862.00	2321.00
968.00	972.00	1120.00	998.00	1012.00	1053.00	1088.00	1039.00	996.00	970.00	1078.00	971.00	1102.00
375.00	419.00	447.00	390.00	277.00	346.00	405.00	625.00	611.00	413.00	403.00	379.00	403.00
621.00	633.00	747.00	622.00	504.00	569.00	718.00	565.00	707.00	624.00	686.00	558.00	667.00
